dmg,acc_date,type,reg,operator,fatal,location
w/o,25-Sep-20,Antonov An-26Sh,76 yellow,Ukraine Air Force,26,"1,1 km N of Chuhuiv Air Base"
w/o,27-Sep-20,Canadair CL-600-1A11 Challenger 600,N100QR,private,0,"Sur del Lago region, Zulia"
sub,29-Sep-20,Lockheed KC-130J Hercules,166765,United States Marine Corps,0,"near Salton City, CA"
non,30-Sep-20,Boeing 777-232ER,N860DA,Delta Air Lines,0,"Anchorage, Alaska"
w/o,04-Oct-20,Gulfstream American G-1159A Gulfstream III,N305LR,private,0,"Machiques, Zulia"
sub,05-Oct-20,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMF,Trans Maldivian Airways,0,Malé-Velana International Airport (MLE)
sub,05-Oct-20,Hawker 850XP,HS-WTH,Ratchthani Leasing Public Company Limited,0,Pattani Airport (PAN/VTSK)
w/o,06-Oct-20,Boeing 737-4B6 (SF),HK-5228,AerCaribe Cargo,0,San José-Juan Santamaria International Airport (SJO/MROC)
sub,10-Oct-20,Douglas C-54E (DC-4),N96358,Alaska Air Fuel,0,"Yakataga Airport, AK"
sub,10-Oct-20,Cessna 208B Grand Caravan,5H-NWA,Duk Air Travel,0,Mundri Airstrip
sub,14-Oct-20,Beechcraft 99A Airliner,N499CZ,Freight Runners Express,0,"Waterville-Robert Lafleur Airport, ME (WVL)"
w/o,14-Oct-20,Antonov An-32A,OB-2120-P,AerCaribe Peru,0,Iquitos-Coronel Francisco Secada Vignetta International Airport (IQT)
sub,16-Oct-20,Britten-Norman BN-2A-27 Islander,V6-01FM,Caroline Islands Air,0,"Mwoakilloa Airfield, Caroline Islands"
sub,21-Oct-20,Learjet 60,N1128M,Worldwide Jet Charter Inc,0,"Chicago-Executive Airport, IL (PWK)"
sub,22-Oct-20,de Havilland Canada DHC-6 Twin Otter 300,8Q-TMR,Trans Maldivian Airways,0,Medhafushi Water Aerodrome
sub,23-Oct-20,Bombardier DHC-8-402Q Dash 8,JA845A,Oriental Air Bridge,0,Fukue Airport (FUJ)
sub,24-Oct-20,Embraer ERJ-145LR,N674RJ,"American Eagle, opb Envoy Air",0,Freeport-Grand Bahama International Airport (FPO)
w/o,29-Oct-20,Gulfstream American G-1159A Gulfstream III,N461AR ?,private,3,Laguna del Tigre
sub,29-Oct-20,Britten-Norman BN-2A-26 Islander,N706MC,St. Bernard Parish Government,0,"New Orleans-Lakefront Airport, LA (NEW)"
sub,30-Oct-20,Antonov An-2,PT-ZNQ,private,0,"Brasília-Piquet Airport, DF (SSGP)"
w/o,30-Oct-20,Embraer EMB-500 Phenom 100,PR-LMP,TRACBEL,0,"Igaratinga-São Pedro Airport, MG (SSDK)"
w/o,31-Oct-20,Cessna AC-208B Combat Caravan,YI-118,Al Quwwat al Jawwiya al Iraqiya (Iraqi Air Force),2,near Balad
sub,01-Nov-20,Raytheon Beechjet 400A,N456FL,Georgia Jet,0,"Fernandina Beach Municipal Airport, FL (KFHB)"
sub,05-Nov-20,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0,"Mendoza-El Plumerillo Airport, MD (MDZ)"
w/o,09-Nov-20,Rockwell Sabreliner 65,XA-VD.,private,1,"El Chico, Champerico, Retalhuleu"
sub,12-Nov-20,British Aerospace 3201 Jetstream 32EP,OB-2152,SAETA Peru,0,Iquitos International Airport (IQT)
non,13-Nov-20,Bombardier CRJ-701ER,N778SK,"SkyWest Airlines, opf American Eagle",0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)"
sub,13-Nov-20,Antonov An-124-100,RA-82042,Volga-Dnepr Airlines,0,Novosibirsk-Tolmachevo Airport (OVB)
w/o,15-Nov-20,Grumman G-1159 Gulfstream II SP,N104VV,private,0,"Caño Amarillo, Catatumbo"
sub,16-Nov-20,ATR 72-500 (72-212A),VT-TMM,TruJet,0,Mysore Airport (MYQ)
sub,23-Nov-20,Beechcraft 200 King Air,HB-GJM,Air-Glaciers,0,Sion Airport (SIR)
sub,23-Nov-20,de Havilland Canada DHC-8-314 Dash 8,C-FEXZ,Voyageur Airways,0,"North Bay Airport, ON (YYB)"
sub,23-Nov-20,de Havilland Canada DHC-7-110,VP-FBQ,British Antarctic Survey,0,"North Bay Airport, ON (YYB)"
sub,26-Nov-20,ATR 42-300,C-FAFS,Calm Air International,0,"Naujaat Airport, NU (YUT)"
sub,28-Nov-20,Embraer EMB-110P1 Bandeirante,CU-T1541,Cubana de Aviación,0,Havana-José Martí International Airport (HAV)
sub,30-Nov-20,Cessna 208B Grand Caravan,C6-AWO,Royal Bahamas Defence Force,0,George Town-Exuma International Airport (GGT)
sub,01-Dec-20,de Havilland Canada DHC-6 Vista Liner 300,P2-ASM,Air Sanga,0,Wobagen Airstrip
sub,02-Dec-20,Cessna 551 Citation II/SP,N48DK,Aviation Star S II LLC,0,"Lufkin Angelina County Airport, TX (LFK)"
sub,02-Dec-20,Boeing 737-529,EY-560,Air Djibouti,0,Garowe Airport (GGR)
w/o,05-Dec-20,British Aerospace BAe-125-800A,N484AR,private,,Jesús María Semprúm
sub,05-Dec-20,Beechcraft A100 King Air,C-FWYO,Airco Aircraft Charters,0,"Edmonton International Airport, AB (YEG)"
w/o,09-Dec-20,Shijiazhuang Y-5B,B-8242,Xinjiang General Aviation,0,Urumqi-Yaxin General Airport
w/o,09-Dec-20,Antonov An-2R,UR-33642,private,1,"near Zolota Sloboda, Kozova Raion, Ternopil Oblast"
w/o,10-Dec-20,Gulfstream Aerospace G-1159A Gulfstream III,(N370JL),private,0,southern Belize
sub,13-Dec-20,Eclipse 500,N686TM,private,0,"Leadville Airport, CO (LXV)"
sub,16-Dec-20,Embraer EMB-500 Phenom 100,N661EP,Executive Aviation Investors Inc,0,"Jacksonville Executive at Craig Airport, FL (CRG)"
