dmg,acc_date,type,reg,operator,fatal,location
non,23-Sep-18,Boeing 757-224 (WL),N13113,United Airlines,0,"Newark Liberty International Airport, NJ (ERW/KEWR)"
sub,24-Sep-18,Honda HA-420 HondaJet,PR-TLZ,América Latina Tecnologia Agrícola - ALTA,0,"Foz do Iguaçu/Cataratas Airport, PR (IGU/SBFI)"
sub,24-Sep-18,Airbus A340-313,RP-C3435,Philippine Air Lines,0,"Vancouver International Airport, BC (YVR/CYVR)"
w/o,25-Sep-18,Beechcraft 200 Super King Air,N241CK,Kalitta Charters,1,"6,4 km SW of Oscoda Wurtsmith Airport, MI"
non,26-Sep-18,Airbus A321-231 (WL),N994AN,American Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)"
non,27-Sep-18,Airbus A310-304,C-GFAT,Air Transat,0,over North Atlantic Ocean
w/o,27-Sep-18,Cessna 208B Supervan 900,VH-FAY,CGG Aviation Australia,1,"120 km E off Sendai, Japan"
sub,27-Sep-18,Dassault Falcon 50,N114TD,Air America Flight Services,2,"Greenville Downtown Airport, SC (GMU)"
sub,28-Sep-18,Airbus A320-232,PT-MZJ,LATAM Airlines Brasil,0,"São Paulo-Congonhas Airport, SP (CGH)"
sub,28-Sep-18,Boeing 737-8BK (WL),P2-PXE,Air Niugini,1,"0,5 km from Chuuk/Weno International Airport (TKK)"
sub,01-Oct-18,Antonov An-2T,YV1719,Inversiones Moraima,0,42 km SE of Uriman
sub,03-Oct-18,Beechcraft 1900C,N575Q,"Ravn Connect, opb Frontier Flying Service",0,"Gambell Airport, AK (GAM)"
w/o,03-Oct-18,Antonov An-26,7706,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum Airport (KRT)
w/o,03-Oct-18,Antonov An-32A,7721,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),0,Khartoum Airport (KRT)
sub,08-Oct-18,Boeing 747-4D7,HS-TGF,Thai Airways International,0,Bangkok-Suvarnabhumi International Airport (BKK/VTBS)
non,09-Oct-18,Boeing 737-7H4 (WL),N287WN,Southwest Airlines,0,"Nashville International Airport, TN (BNA/KBNA)"
sub,10-Oct-18,Cessna 208B Grand Caravan EX,PK-JBR,Jhonlin Air Transport,0,Beoga Airstrip
sub,10-Oct-18,Sukhoi Superjet 100-95B,RA-89011,Yakutia Airlines,0,Yakutsk Airport (YKS)
non,11-Oct-18,Boeing 737-7H4 (WL),N734SA,Southwest Airlines,0,"San Jose, California"
non,12-Oct-18,Airbus A319-112,N926FR,Frontier Airlines,0,"Denver International Airport, CO (DEN/KDEN)"
w/o,12-Oct-18,ATR 72-202,5N-BPE,Overland Airways,0,Lagos-Murtala Muhammed International Airport (LOS)
sub,12-Oct-18,Boeing 737-8HG (WL),VT-AYD,Air India Express,0,Tiruchirappalli-Civil Airport (TRZ)
non,15-Oct-18,Boeing 737-7L9 (WL),N7816B,Southwest Airlines,0,"Albany, New York"
non,15-Oct-18,Boeing 777-337ER,VT-ALN,Air India,0,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB)
w/o,29-Oct-18,Boeing 737 MAX 8,PK-LQP,Lion Air,189,15 km N off Tanjung Bungin
sub,31-Oct-18,Airbus A330-323,N817NW,Delta Air Lines,0,Paris-Charles de Gaulle Airport (CDG)
sub,31-Oct-18,Airbus A330-203,F-GZCI,Air France,0,Paris-Charles de Gaulle Airport (CDG)
sub,07-Nov-18,Boeing 747-412F,N908AR,Sky Lease Cargo,0,"Halifax-Stanfield International Airport, NS (YHZ/CYHZ)"
w/o,08-Nov-18,Antonov An-2R,RA-84674,2nd Arkhangelsk United Aviation Division,0,50 km NE of Arkhangelsk-Talaghy Airport (ARH)
w/o,09-Nov-18,Lockheed C-130E Hercules,4180,Pakistan Air Force,0,Chaklala-PAF Base Nur Khan (RWP)
sub,09-Nov-18,Boeing 757-23N,N524AT,Fly Jamaica Airways,1,Georgetown-Cheddi Jagan International Airport (GEO)
sub,11-Nov-18,Embraer ERJ-190LR (ERJ-190-100 LR),P4-KCJ,Air Astana,0,NE of Lisbon
sub,12-Nov-18,Hawker Siddeley HS-125-700A,N406J,Songbird Aviation LLC,0,"Winder-Barrow County Airport, GA (WDR)"
sub,15-Nov-18,de Havilland Canada DHC-8-315Q Dash 8,C-FPAE,PAL Airlines,0,"Stephenville International Airport, NL (YJT)"
sub,16-Nov-18,British Aerospace 3212 Jetstream 32,HK-4394,SARPA - Servicios Aéreos Panamericanos,0,Bahía Solano-José Celestino Mutis Airport (BSC)
min,20-Nov-18,Boeing 737-8LJ (WL),VP-BCG,Aeroflot,,Moskva-Sheremetyevo Airport (SVO/UUEE)
sub,21-Nov-18,Fairchild SA227-AC Metro III,C-FYAG,Perimeter Aviation,0,"Deer Lake Airport, ON (YVZ)"
sub,22-Nov-18,Boeing 737-53C,OB-2041-P,Peruvian Airlines,0,La Paz-El Alto Airport (LPB)
mis,23-Nov-18,British Aerospace BAe-125-700A,N422X,private,,S of Curaçao [Caribbean Sea]
sub,24-Nov-18,ATR 72-500 (72-212A),AP-BKW,Pakistan International Airlines - PIA,0,Karachi-Jinnah International Airport (KHI)
w/o,26-Nov-18,Cessna 525 Citation M2,PP-OEG,ARG Ltda.,4,"near Jequitaí-Fazenda Fortaleza de Santa Terezinha Airport, MG"
sub,30-Nov-18,Cessna 550 Citation II,N941JM,"Dirt Dynamics, Inc.",0,"Fargo-Hector International Airport, ND (FAR)"
w/o,30-Nov-18,Cessna 525A CitationJet CJ2+,N525EG,Estoair LLC,3,"4 km WSW of Memphis, IN"
non,01-Dec-18,Airbus A320-232 (WL),N632NK,Spirit Airlines,0,"near Las Vegas, NV"
sub,01-Dec-18,Bombardier CRJ-200LR,N202PS,PSA Airlines,0,"New York-La Guardia Airport, NY (LGA)"
sub,03-Dec-18,Hawker 800XP,4X-CUZ,Arrow Aviation Ltd.,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG)
non,03-Dec-18,Boeing 737-823 (WL),N868NN,American Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)"
non,04-Dec-18,Boeing 767-332ER (WL),N193DN,Delta Air Lines,0,"SUNNS intersection, Osaka"
sub,04-Dec-18,Airbus A320-214,SX-EMY,Ellinair,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV)
w/o,06-Dec-18,Lockheed Martin KC-130J,167981,United States Marine Corps,5,"100 km SSE off Muroto Cape, Japan"
non,08-Dec-18,Airbus A320-232 (WL),HS-TXQ,Thai Smile,0,near Bangkok-Suvarnabhumi International Airport (BKK/VTBS)
sub,08-Dec-18,Beechcraft 200 Super King Air,VH-ODI,Desert-Air Safaris,0,"Mount Gambier Airport, SA (MGB)"
w/o,08-Dec-18,Pilatus Britten-Norman BN-2A-20 Islander,VH-OBL,Par-Avion,1,"101 km WSW of Hobart, TAS"
sub,10-Dec-18,Airbus A300B4-203 (F),XA-MRC,AeroUnion - Aerotransporte de Carga Union,0,Mexico City-Benito Juárez International Airport (MEX)
sub,11-Dec-18,Boeing 777-333ER,C-FITW,Air Canada,0,Hong Kong-Chek Lap Kok International Airport (HKG/VHHH)
sub,15-Dec-18,Learjet 35A,N55FN,Med Air LLC,0,"Key West International Airport, FL (EYW)"
sub,18-Dec-18,Boeing 787-9 Dreamliner,ET-AUP,Ethiopian Airlines,0,Oslo-Gardermoen Airport (OSL)
sub,18-Dec-18,Dornier 228-201,S9-AUN,Africa's Connection STP,0,São Tomé Island Airport (TMS/FPST)
w/o,20-Dec-18,Antonov An-26B,9S-AGB,Gomair,7,ca 37 km from Kinshasa-N'Djili Airport (FIH)
w/o,20-Dec-18,Cessna 560 Citation V,N188CW,Chen Aircrafts LLC,4,"2 km NE of Atlanta-Fulton County Airport, GA (FTY)"
sub,22-Dec-18,PZL-Mielec M28 Skytruck,GNB-96107,Guardia Nacional Bolivariana de Venezuela - GNBV,0,Kamarata Airport (KTV)
w/o,24-Dec-18,Antonov An-26B,9T-TAB,Air Force of the Democratic Republic of the Congo,0,Beni Airport (BNC)
sub,31-Dec-18,Boeing 757-2B7 (WL),N938UW,American Airlines,0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)"
sub,unk. date 2018,Rockwell Sabreliner 80,N337KL,private,0,"Eugene Airport, OR (EUG)"
